maker,name,price
HP,613V6PA-AAAG [一体型デスクトップパソコン/HP 27-cb0000 AiO G1モデル/27型/Ryzen 5 5500U/メモリ 8GB/SSD 256GB＋HDD 2TB/Windows 11 Home/Office Home ＆ Business 2021/スターリーホワイト],"￥185,800"
NEC エヌイーシー,PC-A2365GAB [デスクトップパソコン LAVIE/23.8型Full HD/AMD Ryzen7 7730U/メモリ 16GB/SSD 512GB/DVD/Windows 11 Home/Office Home ＆ Business 2021/ファインブラック],"￥247,280"
デル DELL,SI50-DNHB [スモールデスクトップ/Inspiron 3020S スモールデスクトップ/Core i5-13400/UHD グラフィックス/メモリ 8GB/SSD 512GB/Windows 11 Home/Office Home ＆ Business 2021/ブラック],"￥143,800"
ガレリア GALLERIA,RR516S-1500-R31 [ゲーミングデスクトップパソコン ガレリア/Core i5-13400F/GTX 1660SUPER/メモリ 16GB/SSD 500GB/Windows 11 Home],"￥199,980"
エイスース ASUS,S500SD-G7400LU [デスクトップパソコン/Pentium Gold G7400/メモリ 8GB/SSD 256GB/Windows 11 Home/WPS Office2 Standard Edition/ブラック],"￥84,800"
エイスース ASUS,PN64-S7303AD [超小型ミニパソコン/Core i7-13700H/メモリ 16GB/SSD 256GB/Windows 11 Home/ブラック],"￥150,800"
NEC エヌイーシー,PC-A2355GAB-YC [デスクトップパソコン LAVIE/23.8型Full HD/AMD Ryzen5 7530U/メモリ 16GB/SSD 512GB/DVD/Windows 11 Home/Office Home ＆ Business 2021/ファインブラック/ヨドバシカメラ限定モデル],"￥225,280"
ミニズフォーラム MINISFORUM,N40-4/64-W10Pro（N4020） [小型デスクトップパソコン/CPU：Intel Celeron Processor N4020/メモリ：4GB/ストレージ：eMMC 64GB/Windows 10 Pro 64bit],"￥29,450"
ミニズフォーラム MINISFORUM,UM580B-16/512-W11Pro（5800H） [小型デスクトップパソコン/Ryzen7 5800H/メモリ 16GB/SSD 512GB/Windows 11 Pro],"￥83,660"
NEC エヌイーシー,PC-A2797GAB [デスクトップパソコン LAVIE/27.0型Full HD/AMD Ryzen7 7730U/メモリ 16GB/SSD 1TB/BDXL/TVチューナー/Windows 11 Home/Office Home ＆ Business 2021/ファインブラック],"￥291,280"
NEC エヌイーシー,PC-A2797GAB [デスクトップパソコン LAVIE/27.0型Full HD/AMD Ryzen7 7730U/メモリ 16GB/SSD 1TB/BDXL/TVチューナー/Windows 11 Home/Office Home ＆ Business 2021/ファインブラック],"￥291,280"
デル DELL,AI779T-DNLWC [一体型デスクトップ/Inspiron 27 7720 オールインワン/27.0型/Core i7-1355U/Iris Xe グラフィックス/メモリ 16GB/SSD 512GB＋HDD 1TB/Windows 11 Home/パールホワイト],"￥223,800"
